CoatCheck,Attire,ReviewCount,TakeAway,State,CreditCards,City,Open,Smoking,Caters,TransitNearby,IsCasual,IsUpscale,BestNIghtMonThur,BestNightFriSat,School,GoodForLunch,GoodForDinner,HasMusic,Longitude,OutdoorSeating,GoodForGroups,WiFi,Alcohol,WaiterService,Delivery,HappyHour,GoodForKids,TakeOut,AvgPrice,NoiseLevel,HasTV,Latitude,GoodForDancing,NominalStars
?,?,420,?,GA,?,Atlanta,TRUE,?,?,Y,N,N,N,N,Georgia Institute of Technology,N,N,N,-84.389443,?,?,?,?,?,?,?,?,?,?,?,?,33.771479,?,low
?,Casual,75,?,CA,No,Berkeley,TRUE,?,No,N,Y,N,N,N,University of California at Berkeley,Y,Y,N,-122.258539,Yes,No,No,No,Yes,No,?,Yes,Yes,7,Average,No,37.867926,?,low
?,Casual,30,?,IL,Yes,Champaign,TRUE,?,No,N,Y,N,N,N,University of Illinois - Urbana-Champaign,Y,Y,N,-88.228949,No,Yes,No,No,No,No,?,Yes,Yes,7,Average,No,40.111485,?,high
?,?,2,?,MA,?,Cambridge,FALSE,?,?,Y,N,N,N,N,"Massachusetts Institute of Technology, Harvard University",N,N,N,-71.0924,?,?,?,?,?,?,?,?,?,?,?,?,42.362999,?,high
?,Dressy,5,?,CA,Yes,Los Angeles,TRUE,?,?,N,N,N,N,N,University of Southern California,N,N,N,-118.277636,No,Yes,?,No,No,?,?,Yes,Yes,?,?,No,34.025606,?,low
?,Casual,7,?,PA,Yes,Pittsburgh,TRUE,?,Yes,N,N,N,N,N,Carnegie Mellon University,N,N,N,-79.9599,No,No,?,?,No,?,?,?,?,7,?,?,40.439301,?,high
?,Casual,14,?,TX,Yes,Austin,TRUE,?,Yes,N,Y,N,N,N,University of Texas - Austin,Y,N,N,-97.744935,Yes,Yes,No,No,No,No,?,Yes,Yes,7,Average,Yes,30.282848,?,high
?,Casual,15,?,PA,Yes,Pittsburgh,TRUE,?,?,N,N,N,N,N,Carnegie Mellon University,Y,N,N,-79.948898,No,Yes,?,Beer & Wine Only,Yes,Yes,?,Yes,Yes,20,Average,?,40.445099,?,low
?,?,160,?,NY,?,New York,TRUE,?,?,Y,N,N,N,N,Columbia University,N,N,N,-73.957916,?,?,?,?,?,?,?,?,?,?,?,?,40.811098,?,high
?,Casual,56,?,TX,Yes,Houston,TRUE,?,No,N,Y,N,N,N,Rice University,Y,N,N,-95.416397,Yes,No,No,No,No,No,?,Yes,Yes,7,Average,No,29.7173,?,high
No,Casual,139,?,CA,Yes,Berkeley,TRUE,No,No,N,Y,N,Y,Y,University of California at Berkeley,Y,Y,Y,-122.256725,No,Yes,No,Full Bar,Yes,No,Yes,Yes,Yes,20,Very Loud,Yes,37.868133,No,high
?,Casual,15,?,CA,Yes,La Jolla,TRUE,?,?,N,N,N,N,N,University of California - San Diego,N,N,N,-117.236017,Yes,Yes,?,No,No,No,?,Yes,Yes,20,?,?,32.875555,?,low
?,Dressy,9,?,NY,Yes,Ithaca,TRUE,?,No,N,N,N,N,N,Cornell University,N,N,N,-76.481667,No,?,?,Full Bar,Yes,No,?,No,?,45,Average,No,42.446426,?,high
No,Casual,56,?,TX,Yes,Houston,TRUE,Outdoor Area/ Patio Only,No,N,Y,N,Y,Y,Rice University,N,N,Y,-95.4153,Yes,Yes,Free,Full Bar,Yes,No,Yes,No,No,20,Very Loud,Yes,29.716186,No,high
?,Casual,5,Yes,ON,Yes,Waterloo,TRUE,?,?,N,N,N,N,N,University of Waterloo,N,Y,N,-80.546187,No,Yes,?,Beer & Wine Only,Yes,?,?,Yes,?,20,Average,?,43.454996,?,high
?,Casual,3,?,NY,Yes,Watervliet,TRUE,?,?,N,N,N,N,N,Rensselaer Polytechnic Institute,N,Y,N,-73.701103,Yes,Yes,No,Beer & Wine Only,Yes,Yes,?,Yes,Yes,20,Average,No,42.722801,?,high
?,?,5,?,MD,Yes,College Park,TRUE,?,No,N,N,N,N,N,University of Maryland - College Park,N,N,N,-76.92751,?,?,?,No,No,No,?,?,No,7,?,Yes,39.014556,?,high
?,?,33,?,RI,?,Providence,TRUE,?,?,Y,N,N,N,N,Brown University,N,N,N,-71.409554,?,?,?,?,?,?,?,?,?,?,?,?,41.822955,?,high
?,?,3,?,MD,Yes,Greenbelt,TRUE,?,?,N,N,N,N,N,University of Maryland - College Park,N,N,N,-76.904999,No,?,?,No,No,?,?,?,?,?,?,?,38.9967,?,low
Yes,Dressy,39,?,RI,Yes,Providence,TRUE,No,?,N,N,Y,Y,Y,Brown University,N,Y,N,-71.405134,Yes,Yes,No,Full Bar,Yes,No,Yes,No,Yes,45,Average,No,41.82155,No,high
?,Casual,4,?,NJ,No,Princeton,TRUE,?,?,N,N,N,N,N,Princeton University,Y,Y,N,-74.661503,No,No,No,No,No,Yes,?,No,Yes,7,Quiet,Yes,40.353724,?,high
?,?,5,?,NY,?,Manhattan,TRUE,?,?,Y,N,N,N,N,Columbia University,N,N,N,-73.967306,?,?,?,?,?,?,?,?,?,?,?,?,40.802892,?,low
?,Casual,22,?,GA,Yes,Atlanta,TRUE,?,No,N,Y,N,N,N,Georgia Institute of Technology,Y,N,N,-84.407497,Yes,Yes,No,No,No,No,?,Yes,Yes,7,Average,No,33.781601,?,high
?,Casual,22,?,MD,Yes,College Park,TRUE,?,Yes,N,Y,N,N,N,University of Maryland - College Park,Y,Y,N,-76.937798,No,No,No,Beer & Wine Only,No,Yes,?,No,Yes,7,Average,Yes,38.981098,?,low
?,?,8,?,MA,?,Cambridge,TRUE,?,?,Y,N,N,N,N,"Massachusetts Institute of Technology, Harvard University",N,N,N,-71.101358,?,?,?,?,?,?,?,?,?,?,?,?,42.363811,?,high
?,?,25,?,MA,?,Cambridge,FALSE,?,?,Y,N,N,N,N,"Massachusetts Institute of Technology, Harvard University",N,N,N,-71.100098,?,?,?,?,?,?,?,?,?,?,?,?,42.3633,?,high
?,Casual,479,?,CA,No,Pasadena,TRUE,?,No,N,Y,N,N,N,California Institute of Technology,Y,N,N,-118.132004,No,No,Free,Beer & Wine Only,Yes,No,?,Yes,Yes,20,Average,Yes,34.136002,?,high
